scale,local_id,S_real,bucket,P_damaged_production,P_damaged_calibrated
0.5,357,0.85,1_minor,0.4977796971797943,0.4669441878795624
0.5,380,0.6000000000000001,1_minor,0.9784209132194519,0.8391389846801758
0.5,382,1.0714285714285714,1_minor,0.2671602666378021,0.19545209407806396
0.5,397,3.0,3_destroyed,0.9524803757667542,0.9856164455413818
0.5,415,2.571428571428571,3_destroyed,0.7789270877838135,0.8537578582763672
0.5,427,1.5,2_major,0.4759659469127655,0.3783895969390869
0.5,432,0.39534883720930236,0_none,0.8909329771995544,0.8949956297874451
0.5,476,0.3023255813953488,0_none,0.9397854804992676,0.9565098881721497
0.5,483,1.6666666666666665,2_major,0.8022793531417847,0.7900049090385437
0.5,486,3.0,3_destroyed,0.8739785552024841,0.8940718173980713
0.5,487,0.39999999999999997,0_none,0.8811573386192322,0.9647151231765747
0.5,50,1.7647058823529411,2_major,0.8623843193054199,0.5343534350395203
0.5,507,0.0,0_none,0.5544137358665466,0.4087069630622864
0.5,545,1.7999999999999998,2_major,0.9920565485954285,0.9941887855529785
0.5,552,0.4444444444444444,0_none,0.9957478642463684,0.9770728349685669
0.5,559,0.0,0_none,0.27832624316215515,0.1489536315202713
0.5,569,0.0,0_none,0.7955870628356934,0.732750654220581
0.5,606,0.0,0_none,0.07206898182630539,0.05119636654853821
0.5,615,0.0,0_none,0.9560232758522034,0.8733574748039246
0.5,616,0.0,0_none,0.8984720706939697,0.4933418929576874
0.5,638,1.5,2_major,0.7673837542533875,0.7966954708099365
0.5,679,3.0,3_destroyed,0.5419074892997742,0.2888787090778351
0.5,685,0.45454545454545453,0_none,0.9799051284790039,0.9731109142303467
0.5,686,3.0,3_destroyed,0.27823522686958313,0.10837815701961517
0.5,697,0.0,0_none,0.9502564072608948,0.9083991050720215
0.5,700,1.0,1_minor,0.9653586745262146,0.9560920000076294
0.5,714,2.5,3_destroyed,0.9959128499031067,0.9921026825904846
0.5,742,0.0,0_none,0.5888479351997375,0.18517979979515076
0.5,743,1.0434782608695652,1_minor,0.8474988341331482,0.5796809196472168
0.5,750,2.0999999999999996,2_major,0.9928234815597534,0.9726956486701965
0.5,754,0.0,0_none,0.9327738881111145,0.9451760053634644
0.5,757,0.42857142857142855,0_none,0.9425204992294312,0.9684191942214966
0.5,802,1.2000000000000002,1_minor,0.90770024061203,0.8026630282402039
0.5,816,0.3333333333333333,0_none,0.9541229605674744,0.8954253792762756
0.5,832,2.3333333333333335,2_major,0.970258891582489,0.9693138599395752
0.5,842,0.0,0_none,0.7023875117301941,0.680073082447052
0.5,854,0.0,0_none,0.802910327911377,0.9039775729179382
0.5,855,0.0,0_none,0.24403047561645508,0.31326061487197876
0.5,886,1.0,1_minor,0.8929280638694763,0.8294276595115662
0.5,890,1.9090909090909092,2_major,0.8986062407493591,0.610890805721283
0.5,894,0.0,0_none,0.8017062544822693,0.946631908416748
0.5,895,0.0,0_none,0.5081936717033386,0.5220852494239807
0.5,899,0.6818181818181818,1_minor,0.4826779067516327,0.539650022983551
0.5,930,0.3157894736842105,0_none,0.9770148992538452,0.9735279679298401
0.5,931,1.7142857142857142,2_major,0.7201693654060364,0.5179837942123413
0.5,943,0.8958333333333334,1_minor,0.7830134630203247,0.8147027492523193
0.5,957,0.25,0_none,0.7895935773849487,0.7228856682777405
0.5,964,3.0,3_destroyed,0.5458638072013855,0.40876442193984985
0.75,10,0.0,0_none,0.9947722554206848,0.997405469417572
0.75,1007,0.0,0_none,0.9835469722747803,0.9843072295188904
0.75,1019,0.0,0_none,0.8256585001945496,0.9592921733856201
0.75,1023,3.0,3_destroyed,0.9948563575744629,0.9878435134887695
0.75,1032,0.0,0_none,0.9514058232307434,0.9968053102493286
0.75,1047,2.0,2_major,0.8289759159088135,0.9645332098007202
0.75,1062,0.891891891891892,1_minor,0.9208551049232483,0.958551287651062
0.75,1075,0.4390243902439024,0_none,0.986748456954956,0.9696154594421387
0.75,1100,1.5,2_major,0.9877586960792542,0.9936382174491882
0.75,1115,0.0,0_none,0.8353990912437439,0.9280359745025635
0.75,1129,1.0,1_minor,0.9850162267684937,0.8057307600975037
0.75,1142,1.8000000000000003,2_major,0.9710751175880432,0.9797191619873047
0.75,1154,3.0,3_destroyed,0.9967993497848511,0.9863888621330261
0.75,1173,0.0,0_none,0.9782830476760864,0.9942623376846313
0.75,1189,1.125,1_minor,0.9644957184791565,0.9796852469444275
0.75,1194,0.0,0_none,0.9802213907241821,0.9915193915367126
0.75,1200,0.0,0_none,0.6734011769294739,0.931783139705658
0.75,1215,0.5789473684210527,1_minor,0.6354610323905945,0.9384320974349976
0.75,1225,0.0,0_none,0.8760015368461609,0.9283534288406372
0.75,1227,0.0,0_none,0.21031518280506134,0.8752344846725464
0.75,1247,2.25,2_major,0.978286623954773,0.929850161075592
0.75,1250,0.0,0_none,0.8453450202941895,0.7461161017417908
0.75,1253,0.7435897435897435,1_minor,0.8825542330741882,0.8933031558990479
0.75,1263,0.0,0_none,0.66093510389328,0.7661851048469543
0.75,1268,0.8571428571428571,1_minor,0.9986604452133179,0.9994229078292847
0.75,1280,0.0,0_none,0.9935862421989441,0.9830869436264038
0.75,1282,0.0,0_none,0.9924820065498352,0.99506014585495
0.75,130,1.25,1_minor,0.9962592124938965,0.9979338645935059
0.75,1336,0.0,0_none,0.9803065061569214,0.9981169700622559
0.75,1373,0.0,0_none,0.984730064868927,0.8169345855712891
0.75,138,0.0,0_none,0.961658775806427,0.9767501950263977
0.75,140,3.0,3_destroyed,0.9237470626831055,0.8340713381767273
0.75,1401,0.13043478260869565,0_none,0.8598284721374512,0.9750264883041382
0.75,146,2.25,2_major,0.9947881698608398,0.9745858311653137
0.75,149,1.2000000000000002,1_minor,0.9980731010437012,0.9992215633392334
0.75,162,0.0,0_none,0.9472606778144836,0.9333601593971252
0.75,171,1.0909090909090908,1_minor,0.9387999176979065,0.7956264615058899
0.75,180,1.7999999999999998,2_major,0.9073739647865295,0.9424722194671631
0.75,191,0.0,0_none,0.9916161894798279,0.978148341178894
0.75,199,0.0,0_none,0.9205177426338196,0.9667873382568359
0.75,203,1.8571428571428572,2_major,0.928756833076477,0.9869476556777954
0.75,208,0.0,0_none,0.9989275336265564,0.9988176226615906
0.75,218,3.0,3_destroyed,0.9977362155914307,0.999016523361206
0.75,230,3.0,3_destroyed,0.9995543360710144,0.9970409274101257
0.75,234,3.0,3_destroyed,0.9981604218482971,0.9902955293655396
0.75,236,2.5000000000000004,3_destroyed,0.999103307723999,0.9937680959701538
0.75,239,3.0,3_destroyed,0.24939608573913574,0.5131949186325073
0.75,242,1.1666666666666667,1_minor,0.9959432482719421,0.9958919286727905
0.75,251,0.0,0_none,0.9782693982124329,0.9955564141273499
0.75,256,3.0,3_destroyed,0.9919065237045288,0.9799262881278992
0.75,276,0.0,0_none,0.4283333122730255,0.6261901259422302
0.75,277,1.5,2_major,0.9984971284866333,0.9989469647407532
0.75,301,0.23076923076923078,0_none,0.4917924106121063,0.6182774901390076
0.75,305,3.0,3_destroyed,0.9963576197624207,0.9980521202087402
0.75,352,0.75,1_minor,0.9811351895332336,0.9675891399383545
0.75,357,0.85,1_minor,0.9740973711013794,0.971920371055603
0.75,380,0.6000000000000001,1_minor,0.9985949397087097,0.9875743985176086
0.75,382,1.0714285714285714,1_minor,0.9287541508674622,0.9250643849372864
0.75,397,3.0,3_destroyed,0.9962992072105408,0.9981892704963684
0.75,415,2.571428571428571,3_destroyed,0.9402942061424255,0.9904329776763916
0.75,427,1.5,2_major,0.8016782402992249,0.8034231066703796
0.75,432,0.39534883720930236,0_none,0.9490422010421753,0.9821417331695557
0.75,476,0.3023255813953488,0_none,0.986003041267395,0.9941551089286804
0.75,483,1.6666666666666665,2_major,0.9800044894218445,0.980717122554779
0.75,486,3.0,3_destroyed,0.967113733291626,0.9864094853401184
0.75,487,0.39999999999999997,0_none,0.9948604702949524,0.9992792010307312
0.75,50,1.7647058823529411,2_major,0.9385685920715332,0.9904890060424805
0.75,507,0.0,0_none,0.975512683391571,0.9834883809089661
0.75,545,1.7999999999999998,2_major,0.9978308081626892,0.9974881410598755
0.75,552,0.4444444444444444,0_none,0.9982576966285706,0.9891402721405029
0.75,559,0.0,0_none,0.8326173424720764,0.8405908942222595
0.75,569,0.0,0_none,0.911597728729248,0.9599510431289673
0.75,606,0.0,0_none,0.5315910577774048,0.8289803266525269
0.75,615,0.0,0_none,0.9863910675048828,0.9883036613464355
0.75,616,0.0,0_none,0.9872438311576843,0.9485325813293457
0.75,638,1.5,2_major,0.9898236393928528,0.9962286949157715
0.75,679,3.0,3_destroyed,0.9141994118690491,0.981532871723175
0.75,685,0.45454545454545453,0_none,0.9923793077468872,0.9972621202468872
0.75,686,3.0,3_destroyed,0.7998566627502441,0.710582971572876
0.75,697,0.0,0_none,0.9941490888595581,0.9812971353530884
0.75,700,1.0,1_minor,0.9979256391525269,0.9985775947570801
0.75,714,2.5,3_destroyed,0.9992455244064331,0.9984959363937378
0.75,742,0.0,0_none,0.9606910347938538,0.7669227719306946
0.75,743,1.0434782608695652,1_minor,0.9482569098472595,0.9147518277168274
0.75,750,2.0999999999999996,2_major,0.9993680119514465,0.9984993934631348
0.75,754,0.0,0_none,0.988686203956604,0.9983697533607483
0.75,757,0.42857142857142855,0_none,0.9862418174743652,0.9981312155723572
0.75,802,1.2000000000000002,1_minor,0.9925408363342285,0.989170253276825
0.75,816,0.3333333333333333,0_none,0.9955021739006042,0.9921475052833557
0.75,832,2.3333333333333335,2_major,0.9949695467948914,0.9958028197288513
0.75,842,0.0,0_none,0.9675255417823792,0.9754356145858765
0.75,854,0.0,0_none,0.8962050080299377,0.8953438401222229
0.75,855,0.0,0_none,0.9225211143493652,0.9606139063835144
0.75,886,1.0,1_minor,0.9866827726364136,0.9887807369232178
0.75,890,1.9090909090909092,2_major,0.9843912124633789,0.8785207271575928
0.75,894,0.0,0_none,0.9566235542297363,0.9983355402946472
0.75,895,0.0,0_none,0.7394071817398071,0.9934879541397095
0.75,899,0.6818181818181818,1_minor,0.8075845837593079,0.8962387442588806
0.75,930,0.3157894736842105,0_none,0.997481644153595,0.9997207522392273
0.75,931,1.7142857142857142,2_major,0.9573411345481873,0.942966878414154
0.75,943,0.8958333333333334,1_minor,0.8836567997932434,0.9753138422966003
0.75,957,0.25,0_none,0.9781966805458069,0.9868135452270508
0.75,964,3.0,3_destroyed,0.9645988941192627,0.9824673533439636
1,10,0.0,0_none,0.9964109063148499,0.9974519610404968
1,1007,0.0,0_none,0.9939862489700317,0.9990891218185425
1,1019,0.0,0_none,0.9494777917861938,0.9871390461921692
1,1023,3.0,3_destroyed,0.9987910389900208,0.9992897510528564
1,1032,0.0,0_none,0.9877166152000427,0.9949551224708557
1,1047,2.0,2_major,0.9998801946640015,0.9838711023330688
1,1062,0.891891891891892,1_minor,0.9896619319915771,0.9743086099624634
1,1075,0.4390243902439024,0_none,0.9972172975540161,0.9926464557647705
1,1100,1.5,2_major,0.9979056119918823,0.9951743483543396
1,1115,0.0,0_none,0.9683837890625,0.9634612798690796
1,1129,1.0,1_minor,0.9528781175613403,0.8181334137916565
1,1142,1.8000000000000003,2_major,0.9847544431686401,0.9869518280029297
1,1154,3.0,3_destroyed,0.9997232556343079,0.999645471572876
1,1173,0.0,0_none,0.9978153705596924,0.9996873140335083
1,1189,1.125,1_minor,0.997885525226593,0.9921736717224121
1,1194,0.0,0_none,0.9931667447090149,0.995400607585907
1,1200,0.0,0_none,0.7466906905174255,0.833510160446167
1,1215,0.5789473684210527,1_minor,0.7168267965316772,0.4814230501651764
1,1225,0.0,0_none,0.8367221355438232,0.9987632036209106
1,1227,0.0,0_none,0.27869194746017456,0.7490944862365723
1,1247,2.25,2_major,0.9962500929832458,0.998612642288208
1,1250,0.0,0_none,0.9393730759620667,0.9886548519134521
1,1253,0.7435897435897435,1_minor,0.9234136343002319,0.9066259264945984
1,1263,0.0,0_none,0.9553714990615845,0.6857529878616333
1,1268,0.8571428571428571,1_minor,0.9996929168701172,0.9971542358398438
1,1280,0.0,0_none,0.999453604221344,0.999360978603363
1,1282,0.0,0_none,0.9992596507072449,0.9991949200630188
1,130,1.25,1_minor,0.9987030029296875,0.9982894062995911
1,1336,0.0,0_none,0.9998304843902588,0.9999284744262695
1,1373,0.0,0_none,0.9898489117622375,0.9930429458618164
1,138,0.0,0_none,0.9969543218612671,0.9673916697502136
1,140,3.0,3_destroyed,0.9669408202171326,0.9860949516296387
1,1401,0.13043478260869565,0_none,0.9917939305305481,0.9958611130714417
1,146,2.25,2_major,0.9992861151695251,0.9973453879356384
1,149,1.2000000000000002,1_minor,0.9997618794441223,0.9999247789382935
1,162,0.0,0_none,0.8943917751312256,0.9814898371696472
1,171,1.0909090909090908,1_minor,0.9927734732627869,0.9854696989059448
1,180,1.7999999999999998,2_major,0.9773921370506287,0.9850112795829773
1,191,0.0,0_none,0.997380793094635,0.9980302453041077
1,199,0.0,0_none,0.9991063475608826,0.9855513572692871
1,203,1.8571428571428572,2_major,0.9954223036766052,0.9872861504554749
1,208,0.0,0_none,0.9998034834861755,0.998742401599884
1,218,3.0,3_destroyed,0.9997990727424622,0.999665379524231
1,230,3.0,3_destroyed,0.9987861514091492,0.9996260404586792
1,234,3.0,3_destroyed,0.9952606558799744,0.9976918697357178
1,236,2.5000000000000004,3_destroyed,0.999798595905304,0.9998169541358948
1,239,3.0,3_destroyed,0.6051913499832153,0.4844907522201538
1,242,1.1666666666666667,1_minor,0.9954278469085693,0.9913511276245117
1,251,0.0,0_none,0.997441291809082,0.9956764578819275
1,256,3.0,3_destroyed,0.999190628528595,0.9981867671012878
1,276,0.0,0_none,0.3876209259033203,0.40130457282066345
1,277,1.5,2_major,0.9977066516876221,0.9961526989936829
1,301,0.23076923076923078,0_none,0.8440464735031128,0.7869760990142822
1,305,3.0,3_destroyed,0.9985270500183105,0.9977880716323853
1,352,0.75,1_minor,0.9971600770950317,0.9972147345542908
1,357,0.85,1_minor,0.9954683780670166,0.9985382556915283
1,380,0.6000000000000001,1_minor,0.9954375624656677,0.9986997842788696
1,382,1.0714285714285714,1_minor,0.9973716735839844,0.9931172132492065
1,397,3.0,3_destroyed,0.9994617104530334,0.9966034889221191
1,415,2.571428571428571,3_destroyed,0.9930903315544128,0.951606035232544
1,427,1.5,2_major,0.9802055358886719,0.9618490934371948
1,432,0.39534883720930236,0_none,0.9417853355407715,0.8878423571586609
1,476,0.3023255813953488,0_none,0.9187740087509155,0.9953623414039612
1,483,1.6666666666666665,2_major,0.9969215989112854,0.9978821873664856
1,486,3.0,3_destroyed,0.9969719648361206,0.9987828135490417
1,487,0.39999999999999997,0_none,0.9979760050773621,0.9987499713897705
1,50,1.7647058823529411,2_major,0.9796452522277832,0.9591833353042603
1,507,0.0,0_none,0.9982069730758667,0.9921047687530518
1,545,1.7999999999999998,2_major,0.9966981410980225,0.9986982345581055
1,552,0.4444444444444444,0_none,0.9983867406845093,0.9913254380226135
1,559,0.0,0_none,0.9889422655105591,0.9845384359359741
1,569,0.0,0_none,0.9064916968345642,0.956929624080658
1,606,0.0,0_none,0.4808954894542694,0.5107862949371338
1,615,0.0,0_none,0.9982227683067322,0.9863322973251343
1,616,0.0,0_none,0.9828953742980957,0.9611955285072327
1,638,1.5,2_major,0.9983458518981934,0.9982408285140991
1,679,3.0,3_destroyed,0.9595253467559814,0.9768019318580627
1,685,0.45454545454545453,0_none,0.997104823589325,0.9949939846992493
1,686,3.0,3_destroyed,0.8662707209587097,0.8805243968963623
1,697,0.0,0_none,0.9992334842681885,0.9891138076782227
1,700,1.0,1_minor,0.9997569918632507,0.9998475313186646
1,714,2.5,3_destroyed,0.9997937083244324,0.999703586101532
1,742,0.0,0_none,0.9962612986564636,0.996536374092102
1,743,1.0434782608695652,1_minor,0.8963102698326111,0.8834170699119568
1,750,2.0999999999999996,2_major,0.9998980760574341,0.9998223185539246
1,754,0.0,0_none,0.9937823414802551,0.9990324974060059
1,757,0.42857142857142855,0_none,0.9909818768501282,0.9934114813804626
1,802,1.2000000000000002,1_minor,0.9995303153991699,0.9976751208305359
1,816,0.3333333333333333,0_none,0.9973445534706116,0.9977743029594421
1,832,2.3333333333333335,2_major,0.998802661895752,0.9994761347770691
1,842,0.0,0_none,0.990922749042511,0.9932738542556763
1,854,0.0,0_none,0.9402123093605042,0.9494690895080566
1,855,0.0,0_none,0.9916994571685791,0.9868033528327942
1,886,1.0,1_minor,0.9908546209335327,0.972733199596405
1,890,1.9090909090909092,2_major,0.9949967861175537,0.9887506365776062
1,894,0.0,0_none,0.9390845894813538,0.9567807912826538
1,895,0.0,0_none,0.9757617115974426,0.9930525422096252
1,899,0.6818181818181818,1_minor,0.9565012454986572,0.9117088913917542
1,930,0.3157894736842105,0_none,0.9990228414535522,0.9994021654129028
1,931,1.7142857142857142,2_major,0.9986979961395264,0.9917816519737244
1,943,0.8958333333333334,1_minor,0.9238001704216003,0.8940960168838501
1,957,0.25,0_none,0.9957810640335083,0.9803131222724915
1,964,3.0,3_destroyed,0.9883423447608948,0.9978492259979248
