local_id,s_i,source,s_real
406,0.001000,labeled,0.0
409,0.505747,labeled,1.5172413793103448
410,0.001000,labeled,0.0
418,0.383333,labeled,1.15
421,1.000000,labeled,3.0
423,0.001000,labeled,0.0
428,0.816667,labeled,2.45
430,1.000000,labeled,3.0
431,1.000000,labeled,3.0
434,1.000000,labeled,3.0
435,1.000000,labeled,3.0
437,0.722222,labeled,2.1666666666666665
443,0.173913,labeled,0.5217391304347826
456,0.001000,labeled,0.0
463,1.000000,labeled,3.0
467,1.000000,labeled,3.0
469,0.122449,labeled,0.36734693877551017
470,0.666667,labeled,2.0
473,0.033333,labeled,0.1
474,0.117647,labeled,0.3529411764705882
485,0.001000,labeled,0.0
489,0.303030,labeled,0.9090909090909091
490,0.111111,labeled,0.3333333333333333
495,0.555556,labeled,1.666666666666667
496,0.001000,labeled,0.0
497,0.001000,labeled,0.0
498,0.298851,labeled,0.896551724137931
502,0.652174,labeled,1.9565217391304348
504,0.001000,labeled,0.0
506,0.001000,labeled,0.0
508,0.001000,labeled,0.0
511,0.875000,labeled,2.625
515,0.089431,labeled,0.26829268292682923
516,0.001000,labeled,0.0
517,1.000000,labeled,3.0
522,0.851852,labeled,2.555555555555556
523,1.000000,labeled,3.0
531,0.001000,labeled,0.0
532,0.955556,labeled,2.8666666666666667
542,0.001000,labeled,0.0
550,0.001000,labeled,0.0
554,0.001000,labeled,0.0
557,0.001000,labeled,0.0
567,0.001000,labeled,0.0
574,0.255319,labeled,0.7659574468085106
577,0.001000,labeled,0.0
578,0.001000,labeled,0.0
580,0.001000,labeled,0.0
584,0.170370,labeled,0.5111111111111112
586,1.000000,labeled,3.0
587,0.001000,labeled,0.0
593,0.777778,labeled,2.3333333333333335
595,0.001000,labeled,0.0
599,0.152174,labeled,0.4565217391304348
601,0.001000,labeled,0.0
604,0.166667,labeled,0.5
607,0.666667,labeled,2.0
608,1.000000,labeled,3.0
609,0.001000,labeled,0.0
619,0.001000,labeled,0.0
621,0.333333,labeled,1.0
624,0.001000,labeled,0.0
629,0.001000,labeled,0.0
630,0.001000,labeled,0.0
632,0.481481,labeled,1.4444444444444444
635,0.001000,labeled,0.0
640,0.001000,labeled,0.0
643,0.033333,labeled,0.1
644,0.001000,labeled,0.0
645,0.001000,labeled,0.0
652,0.333333,labeled,1.0
653,0.500000,labeled,1.5
654,0.001000,labeled,0.0
656,0.001000,labeled,0.0
658,0.956522,labeled,2.8695652173913047
662,0.160000,labeled,0.48
663,0.904762,labeled,2.7142857142857144
664,0.659722,labeled,1.9791666666666667
667,1.000000,labeled,3.0
669,0.001000,labeled,0.0
670,0.001000,labeled,0.0
672,1.000000,labeled,3.0
676,0.001000,labeled,0.0
677,0.001000,labeled,0.0
680,0.694444,labeled,2.0833333333333335
681,0.001000,labeled,0.0
687,1.000000,labeled,3.0
689,0.500000,labeled,1.5
692,0.001000,labeled,0.0
693,0.217391,labeled,0.6521739130434783
716,0.285714,labeled,0.8571428571428571
724,0.277778,labeled,0.8333333333333333
732,0.153846,labeled,0.46153846153846156
740,0.001000,labeled,0.0
753,0.001000,labeled,0.0
764,0.250000,labeled,0.75
768,0.001000,labeled,0.0
771,0.001000,labeled,0.0
772,0.200000,labeled,0.6000000000000001
777,0.001000,labeled,0.0
780,0.666667,labeled,2.0
786,0.615385,labeled,1.8461538461538463
789,0.750000,labeled,2.25
791,0.001000,labeled,0.0
793,0.214286,labeled,0.6428571428571428
794,0.875000,labeled,2.625
799,0.001000,labeled,0.0
806,0.863636,labeled,2.590909090909091
811,0.750000,labeled,2.25
818,0.364706,labeled,1.0941176470588234
820,0.400000,labeled,1.2000000000000002
822,1.000000,labeled,3.0
825,1.000000,labeled,3.0
841,0.001000,labeled,0.0
862,0.321839,labeled,0.9655172413793104
863,0.740741,labeled,2.2222222222222223
865,0.001000,labeled,0.0
867,0.001000,labeled,0.0
869,0.166667,labeled,0.5
875,0.051282,labeled,0.15384615384615385
879,1.000000,labeled,3.0
881,0.001000,labeled,0.0
887,0.333333,labeled,1.0
888,0.001000,labeled,0.0
892,1.000000,labeled,3.0
902,0.001000,labeled,0.0
905,0.285714,labeled,0.8571428571428571
908,0.400000,labeled,1.2000000000000002
910,0.300000,labeled,0.8999999999999999
913,0.375000,labeled,1.125
914,0.986667,labeled,2.96
915,0.001000,labeled,0.0
917,0.001000,labeled,0.0
918,0.001000,labeled,0.0
924,0.333333,labeled,1.0
929,0.001000,labeled,0.0
932,0.001000,labeled,0.0
936,0.001000,labeled,0.0
939,1.000000,labeled,3.0
941,0.944444,labeled,2.8333333333333335
946,0.208333,labeled,0.625
948,0.001000,labeled,0.0
950,0.001000,labeled,0.0
954,0.001000,labeled,0.0
960,0.001000,labeled,0.0
961,0.001000,labeled,0.0
963,0.343750,labeled,1.03125
966,0.001000,labeled,0.0
971,0.039683,labeled,0.11904761904761904
973,0.619048,labeled,1.857142857142857
987,0.001000,labeled,0.0
988,0.171429,labeled,0.5142857142857142
1001,0.177419,labeled,0.532258064516129
1014,0.142857,labeled,0.42857142857142855
1018,0.001000,labeled,0.0
1020,0.001000,labeled,0.0
1021,0.087912,labeled,0.26373626373626374
1024,0.533333,labeled,1.6
1028,0.001000,labeled,0.0
1036,0.400000,labeled,1.2000000000000002
1041,0.001000,labeled,0.0
1048,0.181818,labeled,0.5454545454545454
1053,0.038462,labeled,0.11538461538461539
1055,0.001000,labeled,0.0
1059,0.204545,labeled,0.6136363636363636
1060,0.001000,labeled,0.0
1064,0.001000,labeled,0.0
1067,0.001000,labeled,0.0
1072,0.001000,labeled,0.0
1073,0.001000,labeled,0.0
1076,0.843750,labeled,2.53125
1079,0.166667,labeled,0.5
1081,0.001000,labeled,0.0
1082,0.001000,labeled,0.0
1086,0.285714,labeled,0.8571428571428571
1087,0.875000,labeled,2.625
1089,0.300000,labeled,0.8999999999999999
1093,0.016949,labeled,0.05084745762711865
1094,0.001000,labeled,0.0
1105,0.244444,labeled,0.7333333333333334
1106,0.066667,labeled,0.2
1114,1.000000,labeled,3.0
1121,1.000000,labeled,3.0
1122,0.076923,labeled,0.23076923076923078
1125,0.001000,labeled,0.0
1126,0.001000,labeled,0.0
1128,0.001000,labeled,0.0
1134,0.001000,labeled,0.0
1135,0.001000,labeled,0.0
1136,0.937500,labeled,2.8125
1144,0.001000,labeled,0.0
1153,0.001000,labeled,0.0
1160,0.050000,labeled,0.15000000000000002
1163,0.001000,labeled,0.0
1166,0.250000,labeled,0.75
1167,0.001000,labeled,0.0
1172,0.001000,labeled,0.0
1177,0.421053,labeled,1.263157894736842
1183,0.001000,labeled,0.0
1185,0.001000,labeled,0.0
1186,0.083333,labeled,0.25
1187,0.210526,labeled,0.631578947368421
1197,0.001000,labeled,0.0
1198,0.001000,labeled,0.0
1203,1.000000,labeled,3.0
1205,0.001000,labeled,0.0
1222,0.001000,labeled,0.0
1226,0.001000,labeled,0.0
1229,0.001000,labeled,0.0
1234,0.001000,labeled,0.0
1238,1.000000,labeled,3.0
1242,0.001000,labeled,0.0
1244,0.001000,labeled,0.0
1245,0.044118,labeled,0.1323529411764706
1246,0.433962,labeled,1.3018867924528301
1249,1.000000,labeled,3.0
1252,0.001000,labeled,0.0
1255,0.348837,labeled,1.0465116279069768
1256,0.001000,labeled,0.0
1258,0.001000,labeled,0.0
1259,0.001000,labeled,0.0
1260,0.833333,labeled,2.5
1261,0.001000,labeled,0.0
1262,0.129630,labeled,0.38888888888888884
1265,0.001000,labeled,0.0
1269,0.227273,labeled,0.6818181818181818
1272,0.001000,labeled,0.0
1273,0.001000,labeled,0.0
1275,0.001000,labeled,0.0
1279,1.000000,labeled,3.0
1286,0.186047,labeled,0.5581395348837209
1289,0.266667,labeled,0.8
1292,0.500000,labeled,1.5
1293,0.001000,labeled,0.0
1299,0.052632,labeled,0.15789473684210525
1304,0.001000,labeled,0.0
1313,0.272727,labeled,0.8181818181818181
1314,0.001000,labeled,0.0
1318,0.001000,labeled,0.0
1319,0.001000,labeled,0.0
1323,0.048780,labeled,0.14634146341463417
1324,0.166667,labeled,0.5
1326,0.001000,labeled,0.0
1331,0.001000,labeled,0.0
1334,0.300000,labeled,0.8999999999999999
1341,0.001000,labeled,0.0
1342,0.001000,labeled,0.0
1345,0.611111,labeled,1.8333333333333333
1353,0.001000,labeled,0.0
1354,0.001000,labeled,0.0
1355,0.001000,labeled,0.0
1360,0.001000,labeled,0.0
1366,0.001000,labeled,0.0
1367,0.001000,labeled,0.0
1368,0.001000,labeled,0.0
1369,0.001000,labeled,0.0
1375,0.001000,labeled,0.0
1376,0.001000,labeled,0.0
1383,0.001000,labeled,0.0
1386,0.500000,labeled,1.5
1387,1.000000,labeled,3.0
1388,0.001000,labeled,0.0
1390,0.500000,labeled,1.5
1398,0.052632,labeled,0.15789473684210525
